0,40
1,40
2,25
3,0
4,25
5,11
6,1
7,0
8,15
9,0
10,33
11,7
12,19
13,40
14,6
15,43
16,45
17,43
18,41
19,52
20,41
21,41
22,41
23,42
24,41
25,41
26,41
27,41
28,41
29,43
30,42
31,41
32,43
33,44
34,43
35,44
36,41
37,41
38,41
39,41
40,42
41,43
42,42
43,42
44,44
45,41
46,46
47,41
48,45
49,46
50,42
51,42
52,43
53,44
54,41
55,41
56,41
57,44
58,43
59,44
60,50
61,51
62,41
63,42
64,53
65,41
66,42
67,42
68,42
69,48
70,56
71,44
72,42
73,42
74,43
75,42
76,52
77,51
78,41
79,49
80,45
81,52
82,42
83,47
84,42
85,42
86,42
87,42
88,42
89,49
90,47
91,42
92,44
93,41
94,55
95,42
96,42
97,42
98,41
99,42
100,43
101,42
102,41
103,42
104,41
105,42
106,41
107,41
108,42
109,43
110,46
111,45
112,42
113,41
114,42
115,42
116,43
117,57
118,50
119,44
120,42
121,43
122,48
123,42
124,42
125,41
126,46
127,43
128,41
129,41
130,42
131,44
132,45
133,46
134,45
135,42
136,43
137,42
138,41
139,43
140,45
141,51
142,41
143,41
144,45
145,41
146,43
147,42
148,43
149,41
