0,40
1,40
2,25
3,0
4,25
5,11
6,1
7,0
8,15
9,0
10,43
11,45
12,43
13,41
14,52
15,41
16,41
17,41
18,42
19,41
20,41
21,41
22,41
23,41
24,43
25,42
26,41
27,43
28,44
29,43
30,44
31,41
32,41
33,41
34,41
35,42
36,43
37,42
38,42
39,44
40,41
41,46
42,41
43,45
44,46
45,42
46,42
47,43
48,44
49,41
50,41
51,41
52,44
53,43
54,44
55,50
56,51
57,41
58,42
59,53
60,41
61,42
62,42
63,42
64,48
65,56
66,44
67,42
68,42
69,43
70,42
71,52
72,51
73,41
74,49
75,45
76,52
77,42
78,47
79,42
80,42
81,42
82,42
83,42
84,49
85,47
86,42
87,44
88,41
89,55
90,42
91,42
92,42
93,41
94,42
95,43
96,42
97,41
98,42
99,41
